"ADG10003u_007" "ADG10003u_008" "ADG10003u_009" "ADG10003u_010" "ADG10003u_015" "ADG10003u_016" "ADG10003u_017" "ADG10003u_021" "ADG10003u_022" "ADG10003u_023" "ADG10003u_051" "ADG10003u_052" "ADG10003u_053" "ADG10003u_066" "ADG10003u_067" "ADG10003u_071" "ADG10003u_072" "ADG10003u_073" "ADG10003u_087" "ADG10003u_088" "ADG10003u_089" "ADG10003u_097" "ADG10003u_098" "ADG10003u_112" "ADG10003u_113" "ADG19007u_011" "ADG19007u_012" "ADG19007u_013" "ADG19007u_014" "ADG19007u_015" "ADG19007u_016" "ADG19007u_017" "ADG19007u_071" "ADG19007u_072" "ADG19007u_073" "ADG19007u_074" "ADG19007u_075" "ADG19007u_076" "ADG19007u_077" "ADG19007u_091" "ADG19007u_092" "ADG19007u_093" "ADG19007u_094" "ADG19007u_095" "ADG19007u_096" "ADG19007u_097" "ADG19007u_161" "ADG19007u_162" "ADG19007u_163" "ADG19007u_164"
"Threitol" 0.00201876217408679 0.00181503694735045 0.0019085017989684 0.00259752727788492 0.00230679438977651 0.00245273280805511 0.0019497452504082 0.00217467869390503 0.00257739826883965 0.00202716017683905 0 0.00227417508089093 0.00211382816530024 0.00164191491974246 0.00122018895494099 0.00288300697351845 0.00392388228114433 0.00254351662489095 0.00259487467641381 0.00263968290615977 0.00278408979516488 0.00202863625582987 0.00171391080879742 0.00275822558566856 0.00206349730593033 0.00223386217606794 0.00195699263616146 0.00185024237882382 0.00235304525835153 0.00249849165842198 0.00315856218555525 0.00135879553583411 0.00239936881794968 0.00149318557494886 0.00219675096332856 0.00219371916206036 0.00246904791660529 0.00183727159254834 0.00232269374575199 0.00252516557741684 0.00238176022728208 0.00276880623327196 0.00284338307244623 0.00307671600047441 0.00254520041927247 0.00293341868250915 0.00277065059690075 0.00236188261119188 0.00153417705858575 0.00249298369966363
"Lactose" 0.00190556327467053 0.00111834691176419 0.000993074384885894 0.000869941628657184 0.00111339922710306 0.00180710845231835 0.00121970424688668 0.00174202102423917 0.00171435919872988 0.00233614717320953 0.00126726149717933 0.000862627630111785 0.00240057093636442 0.00163717385546848 0.00132923431624629 0.00164264595206541 0.0014128936981184 0.00166143124344496 0 0.00160682966883474 0.00253247248195416 0 0.00150294529532364 0 0.00120361534183833 0.00131201598993131 0.00275579078555401 0.00162395954990869 0.000561154500490971 0.00159694727431836 0 0 0.00252707487894562 0.00114787445880784 0.000791436476295777 0 0.00181357227546081 0.00123195066965982 0.000755672191247902 0 0.00246573726290677 0.000803317734269808 0.000915963421724041 0.0017822505670685 0.000704877273631009 0 0.00121812799855274 0.00126942875030648 0.00165536470225913 0.00135235199414178
"2-AminoAdipicAcid" 0.00190393782664741 0.00131811062411807 0.00124830777116752 0 0.00152775906410634 0.0014241714887272 0.00117476128457201 0.00253434936599173 0.00294504553530308 0.00215696694362915 0.00149805868504145 0.00172140184684471 0.00135361771238977 0.00171420652559894 0.00139752562448442 0.00226750761216099 0.00188681734109831 0.00181504321413668 0.00252320933504718 0.00197003187558771 0.00253475873542954 0.00283771008902554 0.00152090451851539 0.00142191719857665 0.00223437635462395 0.00155960895767082 0.00234559948587304 0.00229556000701807 0.00145769095323814 0.00223563971431515 0.00211238818507628 0.00161053443748874 0.00173793219213872 0.00174076754205416 0.00189821359410955 0.00270662839507669 0.00325413012174607 0.00237425872324709 0.0019918470393806 0.00171898033975894 0.00211188684464531 0.00173014282035542 0.0017179675268963 0.0018421427044282 0.00179550948930164 0.00239880368101124 0.00135386879341485 0.00114041639703753 0 0.00174140103032991
"PyroglutamicAcid" 0.00184333092349171 0 0.0014961970447148 0 0.00163379424863839 0.00197582039016354 0.00187761523301149 0.001519937981462 0.00185440376825205 0.00126168320772872 0.00137602348686109 0 0.00174376844518108 0.00175012254321189 0.00183243421355591 0.00179394048164588 0 0.00102985614479649 0.00133948407904446 0.00135916176901679 0.00158169709305715 0 0.00135879844493053 0.00146220879229489 0.0017121258510106 0.00187165442425121 0.00174477560923629 0.00174407877845657 0.00154045451049252 0.00162824115712137 0.00166188245185759 0.00178223055096889 0.00169847460002838 0.00217790489108203 0.00145892696136491 0.00165953225196638 0.00197145685496653 0.00190801174705221 0.000937712599442413 0.00167889330333742 0.00206888046707342 0.00204792800025197 0.00159473848217576 0.00122452587741416 0.00192309257832701 0.00175401176187657 0.00135637750445357 0.00199225772104289 0.00184925584877003 0.00169784429044015
"Spermidine" 0.00175978592180138 0.000696454568080627 0.00133377661805908 0 0.000703006697627089 0.0011826687743809 0.00118026569847118 0.00128232755959193 0.00110674839872872 0 0.00145494859399824 0.00109902044970452 0.00100188257767874 0.00174106206452377 0.00118823751319091 0.000932351053200051 0.000750359831022578 0 0.00086564076356627 0.000911580525360286 0.00116687628940321 0 0 0.00133756468371512 0.00140311087649227 0.00127207594723604 0.00116445039039142 0.00135979876647053 0.000794134110893424 0.0011546911423224 0.00113574101975829 0.00183814741481185 0.00100291161361727 0.000979783243023178 0.00105959436193997 0.000858129940748407 0.00149346836631476 0.00136592648088385 0.000894739538955803 0.00103731141278426 0.00161592450105902 0.000875054630412511 0.000960429147293376 0.00120595905752972 0.00122249205432188 0.00128382122170178 0.00106214678824887 0.00156300649943668 0.000595443000431201 0.0010605790103618
"L-Citrulline" 0.00168564708814656 0 0.00155609161331089 0 0.00148014654361335 0.00132405450593536 0.00207487160218767 0 0.00156037965239389 0 0.00245148197934921 0.00172930389135532 0.00247680422602433 0.00276414781569499 0.00260915237586653 0 0.00133847954979763 0.00233724943776312 0.00203965663676008 0.00208117644799631 0.00209294073848633 0.00219683004605224 0.00278651392427199 0.00247690654363495 0.00268410237010555 0.00258741639740423 0.00222185454940981 0.00207842730512423 0.00234155506637441 0 0.00261597380803816 0.00201960857904684 0.00262196003997509 0.00198630464137105 0.00228111868148208 0 0.00145653649347879 0.00136355968522066 0.00251790658582752 0.00170267863834851 0.00196125691437461 0.0011882094123865 0.0019787082643585 0.00107670780014108 0.00180415923295514 0.00174897339654553 0.00236782959374599 0.00194926483118115 0.00274015978655886 0.0021348272334945
"Indoxylsulfate" 0.00158434756052062 0.000475868171250926 0.000763214518728862 0 0.000740490293060762 0.000859081747146238 0.000722871957641575 0.00167403076172092 0.00214592463405171 0.00228319397548802 0.000919622089397162 0.000876822044287742 0.000995347962398301 0.00151795024875102 0.00114499120753724 0.00246487581290378 0.00297436843775495 0.00256024985806287 0.00228187243626596 0.00188388434547584 0.00221210096271993 0.00278761188557615 0.00279346340694178 0.000770804086953922 0.00162292384321215 0.00144560844804659 0.00175895460380945 0.00165445209873842 0.00183657825582065 0.00178564801091301 0.00162199835237367 0.00128815014571521 0.00138833227215183 0.00144512443802717 0.00148850942382514 0.00145091991378434 0.00186141352247815 0.00141323990903402 0.00123867001675872 0.00151745650044716 0.0017338383270875 0.00143027780557053 0.00112719009968711 0.00141216021318632 0.00144814792770366 0.00164285819932292 0.0009795624338782 0.00112352582854981 0.000923992551111153 0.00157189390019972
"MalicAcid" 0.0015423973269342 0 0.00336325356087672 0 0 0.00360379737673938 0.00279274389479122 0.00394201504438086 0 0.00264996454190175 0.00226785136488459 0.00270415863897925 0.00132870914077731 0 0 0 0.00147651795040659 0 0 0.00260847230316699 0.00184455854122122 0.001180936057531 0.00138564976560093 0.000833112349592017 0.00139236129106027 0.00197322723093374 0.00153664059528805 0.00153116046767276 0 0 0.00192375665025803 0.00202097358203279 0.00305499625209702 0.00339897428245862 0.00256126088171568 0 0.00115074867040482 0.00194355561828737 0 0.00331552729067661 0 0.0031892195482048 0.00426131876631445 0.00192119189924435 0.00324860836968457 0.00102123212291777 0.00109319891885379 0 0.00157953332722244 0.00192452746863552
"L-Phenylalanine" 0.00148141873012885 0 0.00101994843749295 0 0.00122564781940893 0.0012910573236025 0 0.00125431299262399 0.00136415194205913 0.00141687256547042 0.0012566831042762 0 0 0.000931731106001788 0.00105693944972623 0.00174207263754787 0.00316945303403006 0.0025596848812108 0.00151034752994152 0.00173228189803771 0.00143740146970938 0.00232223923616899 0.00173835728634991 0.00208728507745956 0.00137598692427058 0.00110405910950143 0.00119614526835918 0.00115684636054797 0.00136559602847927 0.00129552158590239 0.0014822150098507 0.000787627541535048 0.00129823479483312 0.00104578360138693 0.00134764826105172 0.00164023989738475 0.00153873373744053 0.00106038791758161 0.00148084758960092 0.00145088633687092 0.00131146597347938 0.00125841371788593 0.00119146016468956 0.0012497108834166 0.00149577496943466 0.00124766801256758 0.00116091452480084 0.00114695868095312 0.000958001538687419 0.00101542139380888
"IsocitricAcid" 0.00143293827181472 0 0.00292850169139721 0 0 0.00283500598513719 0.00229419026002815 0.00264734067868424 0.00179370156690314 0.00217946490813771 0 0 0.00173521653418584 0 0.00168073995364755 0 0 0 0.0017358309923331 0 0 0 0 0 0.00132284946651461 0 0.00173925812873741 0 0 0.00178571343601921 0 0 0.00294991867691317 0.00113261047524802 0.00115619013190671 0 0.00143201666795997 0 0 0.00309299209371361 0.0011883156993849 0.00315029356717157 0.00294135949861522 0.0013258300006902 0.00316255676801597 0.00169800758659862 0 0 0 0
"L-Alanine" 0.0014293425706622 0.00102655603548297 0.0018059804305471 0.000823270063908056 0.00129475953972268 0.00130405734546655 0.00100262752432135 0.000804744734737716 0 0.000851147248837945 0 0.000875359966075069 0.00108454616676405 0 0.000515118109042892 0 0 0 0.00124095734170852 0.00181342146519093 0.00157316007955517 0 0 0 0 0 0 0 0.000683739548307644 0 0 0.000701053202630497 0.000672823670872926 0.000948102988457931 0.00081483555873238 0 0.000904989009877573 0.000833362106624928 0.000654543607502966 0 0 0.000615330042215824 0.000750029945835933 0.00108639748990555 0.000791392903585682 0.000730153001359017 0 0 0 0
"L-Arabitol" 0.0014124721010611 0.000665994609576969 0.00169371979338719 0.000623885409658672 0.0016777044509869 0.00247739242955519 0.00190136367145701 0.00147335992233643 0.00217205428389813 0.0009942528502748 0 0.00109953680211007 0.00124650706025436 0.00122180920158598 0.00150438160194261 0.000857390542706205 0.00253917710798048 0.000875060773462187 0.00247204026257045 0.00165385715589355 0.00183788066201339 0 0.00147883288672847 0 0.00118891064333427 0.00187191164903346 0.00258549368354011 0.00181019291056744 0.00189893686222663 0.00115975167112226 0.00220466018428582 0.0022391333414557 0.00195970114257437 0.00280930028426527 0.00286891403829389 0.00110696987891309 0.00271742774987251 0.00146180621427997 0.000723109675688731 0.00188209048394674 0.0013968351012835 0.00157960676398729 0.00205070847019828 0.00197084609137504 0.00191472827203327 0.00253409050488264 0.00207696836814545 0.0018278775170444 0.00255650609359017 0.00222780691549869
"Glycogen" 0.00139565806379698 0.00070183546944772 0.00174659636511874 0 0.00127514448301243 0.00133143831465649 0.00191767185998603 0.00113670475493464 0.00143063891471253 0.00170785244931794 0.00188103998667352 0.00158369066734641 0.00156609121088331 0.00159302826234247 0.00130974230094261 0.000971359303608955 0.0021995439461715 0.00177401422341213 0.0017081212690842 0.00178832716405049 0.00145932020990277 0.00129805600855694 0.00134947164058869 0.00189627318344533 0.0019378818292481 0.00199219334924853 0.00179766516694204 0.0019089962499642 0.00173594236914173 0.00116195017677866 0.00138376242972926 0.00181316795815927 0.00165479541257203 0.00190534051440162 0.00204377307431682 0.00203143937742468 0.00162515930676558 0.0016305512615197 0.00167351189303986 0.00142049901853355 0.00157012448977171 0.00166741305117528 0.0015893197501758 0.00128393294957099 0.00180413395467513 0.00116973554549799 0.00134423566252083 0.00134222735122165 0.00149775095576631 0.00153199169873759
"L-Serine" 0.00138363427424628 0.0018654284100103 0 0 0 0 0 0 0 0 0 0.00208153997392136 0 0 0 0 0 0 0 0 0 0.00156817373323517 0 0 0 0 0 0 0 0 0 0 0.00194137538762753 0 0.00206143976780169 0 0 0 0 0 0 0 0 0 0 0.00157206282815456 0.00260431707089864 0 0.0026855413734343 0.00238320715422963
"L-Cysteine" 0.00137032491499759 0 0 0 0.00153213674780644 0.00278283849745456 0.00166579344074567 0.00201455056414305 0.00204950681288692 0.0035044024472748 0 0.00175052662434064 0.00363367070494811 0.00252861210352614 0.00270429160960583 0.00229479028521642 0.00205384729545145 0.00234994213867029 0.00227516074684323 0.00167343842570056 0.00167692939454999 0.00373421013562513 0.00292747074602901 0 0 0 0.00186916269500239 0 0.00192116021561506 0 0.00193352141829712 0 0.00277957470604763 0.00268933702369555 0.00295537076746004 0.00121212656374107 0 0 0.00212443223062465 0.00354109429538558 0.00161905039760329 0.00317717513725276 0.00140634838717746 0.0020877249744147 0.0016120288511152 0.0019699064517957 0.0019293957571084 0.00357261364221221 0.00253215733295436 0.00152107909841249
"Betaine" 0.00133046365532587 0 0.0012237978226554 0.00032415715189511 0.000569494389949616 0 0.00109583519604285 0 0 0 0.000903760274058894 0.000750675578520249 0.0004809108375003 0 0 0.00030391754353497 0 0 0 0.000685108682935939 0.000624645004250524 0 0 0.000508560428543581 0 0 0 0 0.000618275163792043 0.000295990150276726 0.000475167207713173 0 0 0 0 0 0.000439732924798975 0 0 0 0 0 0 0.000917851362752375 0 0 0 0 0 0
"Xylitol" 0.00130327152094223 0 0 0 0 0.000476480392551457 0 0.000849112896250038 0 0.000877311089043543 0 0 0 0 0.0010115891329012 0 0.0015572255637468 0.00115521556031576 0.00109753655181686 0.000816049438402807 0.00159496640411881 0 0.0010817465652706 0.00109459862301641 0 0 0 0.000642812155140483 0.00135802083181306 0 0.00152930939133123 0.000708839321366576 0.0018827751546669 0 0 0.000868594161190558 0 0.00091829591155474 0.000878012801967547 0.00165656282424905 0.000482562803214235 0.00140323880170095 0.00207178553455767 0.000580886509982547 0.00154269737739362 0.00103862910269191 0.000787795937599143 0 0.00119884897820373 0
"1,3-Diaminopropane" 0.00124410996946103 0 0.000891872684215074 0 0.000774439703344996 0.000703895045582623 0.00097212782711613 0 0.000717122978102395 0.0013325731736355 0 0 0.0013284515373685 0 0.000613329940985765 0 0 0 0.000697524001963561 0 0.000723522981864082 0 0 0 0.000903591127978781 0.000887969133171562 0.000745858187213635 0.000673783071524553 0.000801923501629673 0 0 0.000931948892406551 0.000872219442080452 0.0010922443190011 0 0 0 0 0.00106027963631737 0 0.000781190073456711 0.000762475086840338 0 0.000596414295997948 0 0.00150430583974693 0 0.000555688978531144 0.000799868248475441 0
"D-Mannose" 0.00120844290629741 0.00190725627984269 0.000902070983216967 0.00239376113676465 0.00195568311574532 0.00112553722473346 0 0.00223932958658718 0.00182619837816526 0 0 0 0.00243797791025528 0 0 0 0 0 0.0018623110212862 0.00154353506769537 0.00188242282065934 0.00113799525981663 0 0 0 0.00113144638821836 0.00135277289511071 0.00145886009755471 0.00190855214795 0.00224760921525272 0.00292318006314955 0.00217645872179062 0.00209019900534812 0 0.00245601435520791 0 0 0.00214619796113049 0 0.00215151599449981 0 0.00150739112607804 0.00224757413939968 0.00178213391921872 0.00106002649959813 0 0.00223357796191941 0.00210790778594919 0.00225315873937748 0.00151535704610832
"L-Tryptophane" 0.00116542332714609 0.000433419427739661 0.000859846715209092 0.000764452789616293 0.000657258456390686 0.000890970015784641 0.00089447715227822 0.000962485061894225 0.00065152099510463 0.000632489859413302 0.000793803609852439 0.00104704165331598 0.00101158571609717 0.000831689383837193 0.000868355345064202 0.000797036890991408 0.000970424486401568 0.00120561653321625 0 0 0.000613745086089634 0 0 0.00102147970743015 0.000815084616356866 0.000730068813772552 0.00062452544705897 0.000877406758791055 0.00103223434936663 0.000459883742949859 0 0.000842000148934328 0.000734868277496787 0.000561301233606216 0 0.000707891316178451 0.000643932762097728 0.000957767088126514 0.000538839787055257 0.000489041495033867 0 0.000723321532459434 0.000637013048238743 0 0 0 0.000562235432361235 0 0 0.000756894262584878
"HippuricAcid" 0.00111924393683516 0 0.00136581236756126 0 0.00233449171541281 0.00306821454867151 0.00177271465508726 0.005970865852207 0.00256176651026201 0.00784881298189952 0.0141981693922913 0.00726707580195065 0.00195851120819533 0.00410569486071038 0.00118654688877246 0.00403929152721708 0.00131943020899856 0.00264314085641793 0.00536422932866813 0.00611361941821471 0.00541456988730287 0.00177925861857934 0.00448073618772356 0.00833454837507549 0.00248795136154398 0.00410672421164737 0.00309692949926519 0.00589961407060341 0.00558785858792264 0.00161384534195499 0.00613080535175422 0.00645147137089162 0.00229161500032483 0.00259893654432612 0.00450132491902962 0.0146969278347913 0.00514398077655706 0.00965427912711834 0.00961511607878175 0.00661162151351785 0.00305546615725005 0.00894247616105194 0.00712879811577116 0.00382931780280213 0.00799719129367375 0.00979803269904881 0.0170506537307525 0.0065723847336749 0.00846867457764409 0.0123598594994953
"trans-4-Hydroxy-L-Proline" 0.00111546361781519 0.00183339839965203 0.00137978768156845 0.00333822422688999 0.00201319298624947 0 0 0.00113450430380325 0 0 0 0 0.000858941471171864 0 0 0.00112934736460573 0.00218602017566254 0.000956778169751062 0.00121596068033264 0.00102655306426896 0 0 0 0.00180378224451716 0.00157249350542859 0 0 0 0 0 0 0 0.000575822947001482 0.00117508548133028 0 0 0.000991288647668955 0.000868126356043343 0 0 0.0012419884879367 0 0 0.000863065664859 0 0 0 0.000926850695687395 0 0
"Myo-Inositol" 0.00109771165066315 0.00183740873974227 0.00379566202471421 0.00251669263526995 0.00149200350782875 0.00113957736480457 0.00124739032672389 0.00139004111696094 0.0015752851426711 0 0 0 0.00074909425990894 0.00172348166590532 0.00170594231993136 0.0013064926197561 0.00141843572268302 0.00102954817177007 0.000873792953851664 0.000956073309940396 0 0.00119229395303612 0 0.00164515669402157 0.00130158842385501 0 0.00126065900844153 0.000790403455516871 0 0.00106048269983594 0.000946233688823373 0.00126424683455107 0.00128377054395599 0.00130587831988348 0.00116167216874353 0.00104641876753609 0.000648064758619794 0.00105399387139615 0.00110395427164833 0.00107684076243535 0.00121046674580389 0.00107262172799991 0.000810393381903915 0.00119671072371446 0 0.00162444664833179 0.000536065953491386 0.000912718207951196 0.000845115800979631 0.000792373954926828
"SaccaricAcid" 0.00108557104821093 0 0 0 0.000856509139099609 0.000928471876664764 0.00197615413125423 0 0.00152324310034186 0.00104233385079325 0.000940287377022553 0.00123297918295745 0 0 0.00118940840877089 0 0 0.000774999304014771 0.00140737184856394 0.00149589485641138 0 0 0.0013036125822173 0 0 0.000869517996879849 0 0.00103850633046351 0 0.00115134359477007 0.00113823021208939 0.00149083025470942 0 0.00118064784654549 0 0.000839160126219607 0 0.000988570827559243 0.00119067194753762 0 0.0014213660673659 0.00088732534189901 0 0.000883103385894973 0 0.00115771795666545 0.00070038398228519 0 0 0
"ThreonicAcid" 0.00108406295718018 0.000899326149675653 0.00228374097966721 0 0.00245335672640588 0.00317837243491067 0.00261664719702088 0.0034099563021538 0.00269335766238096 0.00149329145868607 0.00396192098389139 0.00182778965016563 0.00284818277307725 0.00478738051833491 0.00374214851310112 0.00249437277952048 0.00274784866347907 0 0.00263945645653213 0.00213726537217758 0.00116591255084177 0.00201731455417928 0.00220582070833195 0.00133067896580244 0.00186200866770899 0.002141095874789 0.00164401516790375 0 0.00206822863873727 0.00140742862418984 0.00121146109040539 0.00222087356634573 0.0013851354850842 0.00192155262654545 0.0010018874929682 0.00184782647547948 0.00155647787377259 0.00166605355811436 0.00225823456834085 0 0.00175428606428729 0 0 0.00140232804311333 0.00117595028258717 0.00287803991043248 0.00201938036478403 0.00376763364022183 0 0.00178238033565815
